SL_pAcc_aR,SL_pAcc_aNR,SF_pAcc_aR,SF_pAcc_aNR
0.5057803468208093,0.515702479338843,0.4979209979209979,0.4607594936708861
0.5096642929806714,0.484822934232715,0.5014749262536873,0.5221130221130221
0.4963805584281282,0.5118230358504958,0.5130687318489835,0.49782293178519593
0.5046632124352332,0.4952870608397601,0.5719806763285025,0.5234093637454982
0.5126135216952573,0.5206611570247934,0.6194251734390486,0.5232558139534884
0.5117466802860061,0.5260115606936416,0.5808031341821743,0.5842839036755386
0.546583850931677,0.5245579567779961,0.6411992263056093,0.5723014256619144
0.5619146722164412,0.5273250239693192,0.6843118383060636,0.6039707419017764
0.6169354838709677,0.5642343268242549,0.7103174603174603,0.6601752677702045
0.678082191780822,0.6280295047418335,0.7597137014314929,0.6622264509990485
0.6356356356356356,0.6230414746543779,0.7892107892107892,0.6983606557377049
0.7065989847715736,0.6319290465631929,0.7842364532019704,0.7076502732240437
0.7338204592901879,0.7124248496993988,0.7850287907869482,0.7055888223552894
0.7869700103412617,0.7013815090329437,0.7957405614714425,0.7507082152974505
0.7838383838383839,0.7225969645868465,0.7445544554455445,0.7223587223587223
0.7668650793650794,0.7068160597572363,0.8185483870967742,0.7588805166846071
0.7706237424547284,0.7073378839590444,0.8091451292246521,0.8176328502415459
0.7963340122199593,0.7316356513222331,0.7917485265225933,0.7671092951991828
0.7718550106609808,0.7878787878787878,0.8116760828625236,0.7472118959107806
0.7686796315250768,0.741733690795353,0.7751710654936461,0.7230419977298524
0.8378378378378378,0.7214799588900308,0.8208092485549133,0.7555988315481986
0.790650406504065,0.7593397046046916,0.8001968503937008,0.8115429917550059
0.7763975155279503,0.7871024734982333,0.8346228239845261,0.7995391705069125
0.8025078369905956,0.7729257641921398,0.8130393096836049,0.7239766081871345
0.8248175182481752,0.7592307692307693,0.8059558117195005,0.7914285714285715
0.806841046277666,0.768595041322314,0.8210735586481114,0.8243688254665203
0.8109452736318408,0.7829861111111112,0.7879396984924623,0.8301886792452831
0.8034274193548387,0.7925784966698383,0.8075396825396826,0.7502634351949421
0.8016614745586709,0.8043032786885246,0.8293153326904532,0.767578125
0.8341915550978373,0.7724770642201835,0.7852283770651117,0.7791208791208791
0.8024564994882293,0.8046709129511678,0.7751710654936461,0.7618147448015122
0.8217213114754098,0.7819905213270142,0.8388671875,0.7470899470899471
0.7638888888888888,0.7948717948717948,0.8308270676691729,0.75
0.7968911917098446,0.783195020746888,0.8270531400966183,0.7818532818532818
0.8278210116731517,0.7843137254901961,0.8436213991769548,0.7918367346938775
0.811377245508982,0.7865168539325843,0.811623246492986,0.7394711067580804
0.8099593495934959,0.8036998972250771,0.827755905511811,0.7955209347614411
0.8231009365244537,0.790273556231003,0.8440808469682387,0.8351431391905232
0.822401614530777,0.7678018575851393,0.8146679881070367,0.7885548011639185
0.7924335378323109,0.7497665732959851,0.8326810176125244,0.759956942949408
0.7895277207392197,0.7613293051359517,0.8382066276803118,0.76266137040715
0.8113804004214963,0.7378640776699029,0.8087535680304472,0.8175257731958763
0.8503688092729189,0.7798165137614679,0.8173168411037107,0.7978410206084396
0.812691914022518,0.7791304347826087,0.8367546432062561,0.8505882352941176
0.8144750254841998,0.7813834329632793,0.8184494602551521,0.8021712907117008
0.8191377497371188,0.7495559502664298,0.8207816968541468,0.7917620137299771
0.8103112840466926,0.7567084078711985,0.8024691358024691,0.7766439909297053
0.829393627954779,0.7683168316831683,0.8442064264849075,0.8080808080808081
0.842479674796748,0.7944700460829494,0.8326771653543307,0.7289617486338797
0.8425832492431887,0.7920604914933838,0.8206144697720515,0.7908704883227177
0.8086866597724922,0.7631067961165049,0.8238141335914811,0.7690721649484537
0.8097660223804679,0.7774936061381074,0.8269419862340216,0.7871825876662636
0.8304914744232698,0.8047105004906772,0.8245264207377866,0.763506625891947
0.8020725388601037,0.7662463627546072,0.8376811594202899,0.7110423116615067
0.8168724279835391,0.7994323557237465,0.811284046692607,0.76033934252386
0.7900723888314375,0.7955911823647295,0.8267182962245886,0.7884231536926147
0.8172484599589322,0.8115808823529411,0.8440545808966862,0.7894736842105263
0.834510595358224,0.84472049689441,0.8057482656095144,0.7880870561282932
0.8321392016376663,0.8199626865671642,0.8279569892473119,0.8114224137931034
0.8316733067729084,0.7948717948717948,0.8333333333333334,0.7687224669603524
0.8331606217616581,0.7916287534121929,0.8154589371980676,0.8301886792452831
0.8216432865731463,0.7740705433746425,0.8323353293413174,0.8159831756046267
0.8085106382978723,0.8091976516634051,0.8371174728529122,0.7955010224948875
0.8572825024437928,0.81195079086116,0.857727737973388,0.7749419953596288
0.8088386433710175,0.77447216890595,0.813047711781889,0.7703549060542797
0.8164948453608247,0.782608695652174,0.8339805825242719,0.8131634819532909
0.8219037871033776,0.797373358348968,0.8465298142717498,0.828693790149893
0.8425832492431887,0.8192239858906526,0.8315163528245788,0.8418013856812933
0.8292433537832311,0.7914338919925512,0.8140900195694716,0.82829373650108
0.8299681190223167,0.8339805825242719,0.8413597733711048,0.8092783505154639
0.8516260162601627,0.7895167895167895,0.8415354330708661,0.8459563543003851
0.8630831643002028,0.7760910815939279,0.8471400394477318,0.828752642706131
0.8252326783867632,0.7672658467360454,0.8422071636011617,0.8016967126193001
0.8100890207715133,0.79,0.839231547017189,0.799
0.8419452887537994,0.8143607705779334,0.8203356367226061,0.8111888111888111
0.838477366255144,0.8112244897959183,0.8317120622568094,0.837378640776699
0.8334975369458129,0.7906764168190128,0.8568527918781725,0.8035320088300221
0.8193146417445483,0.7998163452708907,0.8360655737704918,0.7925356750823271
0.8113207547169812,0.7934893184130214,0.8107074569789675,0.8210422812192724
0.837,0.7928888888888889,0.835,0.8137142857142857
0.814968814968815,0.7986798679867987,0.8294797687861272,0.7552703941338221
0.8426610348468849,0.792046396023198,0.8366571699905033,0.8511979823455234
0.8176352705410822,0.7952153110047847,0.8473053892215568,0.8157068062827225
0.8225641025641026,0.7846020761245674,0.8292682926829268,0.8021327014218009
0.8057851239669421,0.7855227882037533,0.8410852713178295,0.8036322360953462
0.847,0.7639372822299652,0.818,0.82981220657277
0.7951807228915663,0.7817531305903399,0.8346613545816733,0.7970521541950113
0.8408408408408409,0.7937062937062938,0.8311688311688312,0.8434579439252337
0.835820895522388,0.7911200807265388,0.8402010050251256,0.8136769078295342
0.8290685772773797,0.7998027613412229,0.8064516129032258,0.7900608519269777
0.8294416243654822,0.8057620817843866,0.8236453201970443,0.7792207792207793
0.8173076923076923,0.7746999076638966,0.8233082706766918,0.7993456924754635
0.8115653040877367,0.7871485943775101,0.8485456369107321,0.8007968127490039
0.8319502074688797,0.774390243902439,0.8359073359073359,0.8227699530516432
0.8403193612774451,0.8008474576271186,0.845691382765531,0.7850378787878788
0.8411016949152542,0.7904667328699106,0.8418560606060606,0.8177240684793555
0.8145161290322581,0.775691699604743,0.8392857142857143,0.7945344129554656
0.7978410206084396,0.7838104639684107,0.8379204892966361,0.7912867274569402
0.8430583501006036,0.8121387283236994,0.8300198807157058,0.8066528066528067
0.8588709677419355,0.8061509785647717,0.808531746031746,0.8090614886731392
